Duration,Pulse,Maxpulse,Calories,Precentage,,,
60,110,130,409.1,60%,,,
60,117,145,479,60%,,,
60,103,135,340,60%,,,
45,109,175,282.4,45%,,,
45,117,148,406,45%,,,
60,102,127,300,60%,,,
60,110,136,374,60%,,,
45,104,134,253.3,45%,,,
30,109,133,195.1,30%,,,
60,98,124,269,60%,,,
60,103,147,329.3,60%,,,
60,100,120,250.7,60%,,,
60,106,128,345.3,60%,,,
60,104,132,379.3,60%,,,
60,98,123,275,60%,,,
60,98,120,215.2,60%,,,
60,100,120,300,60%,,,
45,90,112,,45%,,,
60,103,123,323,60%,,,
45,97,125,243,45%,,,
60,108,131,364.2,60%,,,
45,100,119,282,45%,,,
60,130,101,300,60%,,,
45,105,132,246,45%,,,
60,102,126,334.5,60%,,,
60,100,120,250,60%,,,
60,92,118,241,60%,,,
60,103,132,,60%,,,
60,100,132,280,60%,,,
60,102,129,380.3,60%,,,
60,92,115,243,60%,,,
45,90,112,180.1,45%,,,
60,101,124,299,60%,,,
60,93,113,223,60%,,,
60,107,136,361,60%,,,
60,114,140,415,60%,,,
60,102,127,300,60%,,,
60,100,120,300,60%,,,
60,100,120,300,60%,,,
45,104,129,266,45%,,,
45,90,112,180.1,45%,,,
60,98,126,286,60%,,,
60,100,122,329.4,60%,,,
60,111,138,400,60%,,,
60,111,131,397,60%,,,
60,99,119,273,60%,,,
60,109,153,387.6,60%,,,
45,111,136,300,45%,,,
45,108,129,298,45%,,,
60,111,139,397.6,60%,,,
60,107,136,380.2,60%,,,
80,123,146,643.1,80%,,,
60,106,130,263,60%,,,
60,118,151,486,60%,,,
30,136,175,238,30%,,,
60,121,146,450.7,60%,,,
60,118,121,413,60%,,,
45,115,144,305,45%,,,
20,153,172,226.4,20%,,,
45,123,152,321,45%,,,
210,108,160,1376,210%,,,
160,110,137,1034.4,160%,,,
160,109,135,853,160%,,,
45,118,141,341,45%,,,
20,110,130,131.4,20%,,,
180,90,130,800.4,180%,,,
150,105,135,873.4,150%,,,
150,107,130,816,150%,,,
20,106,136,110.4,20%,,,
300,108,143,1500.2,300%,,,
150,97,129,1115,150%,,,
60,109,153,387.6,60%,,,
90,100,127,700,90%,,,
150,97,127,953.2,150%,,,
45,114,146,304,45%,,,
90,98,125,563.2,90%,,,
45,105,134,251,45%,,,
45,110,141,300,45%,,,
120,100,130,500.4,120%,,,
270,100,131,1729,270%,,,
30,159,182,319.2,30%,,,
45,149,169,344,45%,,,
30,103,139,151.1,30%,,,
120,100,130,500,120%,,,
45,100,120,225.3,45%,,,
30,151,170,300,30%,,,
45,102,136,234,45%,,,
120,100,157,1000.1,120%,,,
45,129,103,242,45%,,,
20,83,107,50.3,20%,,,
180,101,127,600.1,180%,,,
45,107,137,,45%,,,
30,90,107,105.3,30%,,,
15,80,100,50.5,15%,,,
20,150,171,127.4,20%,,,
20,151,168,229.4,20%,,,
30,95,128,128.2,30%,,,
25,152,168,244.2,25%,,,
30,109,131,188.2,30%,,,
90,93,124,604.1,90%,,,
20,95,112,77.7,20%,,,
90,90,110,500,90%,,,
90,90,100,500,90%,,,
90,90,100,500.4,90%,,,
30,92,108,92.7,30%,,,
30,93,128,124,30%,,,
180,90,120,800.3,180%,,,
30,90,120,86.2,30%,,,
90,90,120,500.3,90%,,,
210,137,184,1860.4,210%,,,
60,102,124,325.2,60%,,,
45,107,124,275,45%,,,
15,124,139,124.2,15%,,,
45,100,120,225.3,45%,,,
60,108,131,367.6,60%,,,
60,108,151,351.7,60%,,,
60,116,141,443,60%,,,
60,97,122,277.4,60%,,,
60,105,125,,60%,,,
60,103,124,332.7,60%,,,
30,112,137,193.9,30%,,,
45,100,120,100.7,45%,,,
60,119,169,336.7,60%,,,
60,107,127,344.9,60%,,,
60,111,151,368.5,60%,,,
60,98,122,271,60%,,,
60,97,124,275.3,60%,,,
60,109,127,382,60%,,,
90,99,125,466.4,90%,,,
60,114,151,384,60%,,,
60,104,134,342.5,60%,,,
60,107,138,357.5,60%,,,
60,103,133,335,60%,,,
60,106,132,327.5,60%,,,
60,103,136,339,60%,,,
20,136,156,189,20%,,,
45,117,143,317.7,45%,,,
45,115,137,318,45%,,,
45,113,138,308,45%,,,
20,141,162,222.4,20%,,,
60,108,135,390,60%,,,
60,97,127,,60%,,,
45,100,120,250.4,45%,,,
45,122,149,335.4,45%,,,
60,136,170,470.2,60%,,,
45,106,126,270.8,45%,,,
60,107,136,400,60%,,,
60,112,146,361.9,60%,,,
30,103,127,185,30%,,,
60,110,150,409.4,60%,,,
60,106,134,343,60%,,,
60,109,129,353.2,60%,,,
60,109,138,374,60%,,,
30,150,167,275.8,30%,,,
60,105,128,328,60%,,,
60,111,151,368.5,60%,,,
60,97,131,270.4,60%,,,
60,100,120,270.4,60%,,,
60,114,150,382.8,60%,,,
30,80,120,240.9,30%,,,
30,85,120,250.4,30%,,,
45,90,130,260.4,45%,,,
45,95,130,270,45%,,,
45,100,140,280.9,45%,,,
60,105,140,290.8,60%,,,
60,110,145,300,60%,,,
60,115,145,310.2,60%,,,
75,120,150,320.4,75%,,,
75,125,150,330.4,75%,,,
